Posting data;Sorting material description;Qyantity;Component quantity;m2;Fault;Fault text;Reason;Reason text;Comment
17.1.2024 ?.;REG 12.5 1200 2600 TE (60);16;16;49.9;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
17.1.2024 ?.;MR 12.5 1200 2000 TE (60);2;2;4;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
17.1.2024 ?.;REG 12.5 1200 2600 TE (60);60;60;187.2;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
17.1.2024 ?.;REG 12.5 1200 2600 TE (60) GS Foil NG;5;5;15;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
17.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;36;36;112.3;F002;Poor edges;50;Paper change;
17.1.2024 ?.;REG 9.5 1200 2600 TE (80) OWP foil NG;125;125;390;F002;Poor edges;40;Product change (flying changeover);
17.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;88;88;211.2;F002;Poor edges;10;Run up / shut down (prod start / end);
17.1.2024 ?.;MR 12.5 1200 2000 TE (60) GS m.Foli NG;4;4;9;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
17.1.2024 ?.;FR 15 1200 2000 HRTE (40);123;123;295.2;F004;Paper bonding;10;Run up / shut down (prod start / end);
17.1.2024 ?.;REG 12.5 1200 2800 TE (60) GS Foil;158;158;530.9;F002;Poor edges;10;Run up / shut down (prod start / end);
17.1.2024 ?.;REG 12.5 1200 2800 TE (60) GS Foil;11;11;37;F005;Rippling;50;Paper change;
17.1.2024 ?.;MR 12.5 1200 2600 TE (60);20;20;62.4;F002;Poor edges;50;Paper change;
17.1.2024 ?.;MR 12.5 1200 2600 TE (60);60;60;187.2;F002;Poor edges;40;Product change (flying changeover);
18.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;16;16;38.4;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
18.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;46;46;110.4;F002;Poor edges;40;Product change (flying changeover);
18.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;47;47;112.8;F002;Poor edges;40;Product change (flying changeover);
18.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;4;4;12;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
18.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;1;1;3;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
18.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;9;9;28;F002;Poor edges;50;Paper change;
18.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;5;5;15;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
18.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;130;130;405.6;F002;Poor edges;10;Run up / shut down (prod start / end);
18.1.2024 ?.;MR 12.5 1200 2000 TE (60) GS m.Foli NG;24;24;57.6;F002;Poor edges;50;Paper change;
18.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;15;15;36;F002;Poor edges;50;Paper change;
18.1.2024 ?.;MR 12.5 1200 2500 TE (60) EWP Foil NG;2;2;6;F003;Hollow edges;10;Run up / shut down (prod start / end);
18.1.2024 ?.;REG 12.5 1200 2500 TE (60) GS Foil NG;6;6;18;F002;Poor edges;50;Paper change;
18.1.2024 ?.;MR 12.5 1200 2600 TE (60);44;44;137.3;F002;Poor edges;40;Product change (flying changeover);
18.1.2024 ?.;REG 9.5 1200 2600 TE (80);160;160;499.2;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
19.1.2024 ?.;REG PLUS 12.5 1200 2600 TE (60) NG;64;64;199.7;F002;Poor edges;10;Run up / shut down (prod start / end);
20.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;17;17;40.8;F005;Rippling;50;Paper change;
20.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;290;290;696;F002;Poor edges;10;Run up / shut down (prod start / end);
20.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;10;10;24;F002;Poor edges;50;Paper change;
21.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;90;90;216;F002;Poor edges;10;Run up / shut down (prod start / end);
21.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;22;22;52.8;F005;Rippling;40;Product change (flying changeover);
21.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;10;10;24;F002;Poor edges;50;Paper change;
21.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;69;69;165.6;F002;Poor edges;40;Product change (flying changeover);
21.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;35;35;84;F002;Poor edges;40;Product change (flying changeover);
21.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;3;3;9;F005;Rippling;50;Paper change;
21.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;103;103;321.4;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
21.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;30;30;72;F002;Poor edges;10;Run up / shut down (prod start / end);
22.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;24;24;74.9;F005;Rippling;40;Product change (flying changeover);
22.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;77;77;240.2;F002;Poor edges;10;Run up / shut down (prod start / end);
22.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;6;6;18;F005;Rippling;50;Paper change;
22.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;6;6;18;F002;Poor edges;50;Paper change;
22.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;17;17;53;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
22.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;50;50;156;F002;Poor edges;10;Run up / shut down (prod start / end);
22.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;120;120;374.4;F004;Paper bonding;10;Run up / shut down (prod start / end);
22.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;52;52;124.8;F002;Poor edges;10;Run up / shut down (prod start / end);
22.1.2024 ?.;REG 12.5 1200 2500 TE (60) EWP Foil NG;2;2;6;F002;Poor edges;50;Paper change;
22.1.2024 ?.;REG PLUS 12.5 1200 2600 TE (60) NG;47;47;146.6;F002;Poor edges;40;Product change (flying changeover);
23.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;8;8;19;F002;Poor edges;50;Paper change;
23.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;17;17;40.8;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
23.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;1;1;2;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
23.1.2024 ?.;REG 12.5 1200 2500 HRTE (60) S+B;3;3;9;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
23.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;30;30;72;F009;Bubbles;40;Product change (flying changeover);
23.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;269;269;645.6;F002;Poor edges;40;Product change (flying changeover);
23.1.2024 ?.;MR 12.5 1200 2000 TE (60) GS m.Foli NG;179;179;429.6;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
23.1.2024 ?.;MR 12.5 1200 2000 TE (60) GS m.Foli NG;6;6;14;F002;Poor edges;50;Paper change;
23.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;46;46;110.4;F002;Poor edges;40;Product change (flying changeover);
23.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;128;128;307.2;F002;Poor edges;40;Product change (flying changeover);
23.1.2024 ?.;REG 12.5 1200 2500 TE (60) GS Foil NG;60;60;180;F002;Poor edges;40;Product change (flying changeover);
23.1.2024 ?.;REG 12.5 1200 2500 TE (60) GS Foil NG;137;137;411;F004;Paper bonding;40;Product change (flying changeover);
23.1.2024 ?.;REG PLUS 12.5 1200 2600 TE (60) NG;98;98;305.8;F002;Poor edges;40;Product change (flying changeover);
24.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;34;34;81.6;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
24.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;200;200;480;F002;Poor edges;10;Run up / shut down (prod start / end);
25.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;120;120;288;F002;Poor edges;10;Run up / shut down (prod start / end);
25.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;180;180;432;F002;Poor edges;10;Run up / shut down (prod start / end);
25.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;120;120;288;F002;Poor edges;40;Product change (flying changeover);
25.1.2024 ?.;MR 12.5 1200 2000 HRTE (60) S+B;1;1;2;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
25.1.2024 ?.;MR 12.5 1200 2000 TE (60);60;60;144;F002;Poor edges;40;Product change (flying changeover);
25.1.2024 ?.;REG 12.5 1200 2600 TE (60);60;60;187.2;F002;Poor edges;40;Product change (flying changeover);
25.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;136;136;424.3;F002;Poor edges;40;Product change (flying changeover);
25.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;6;6;18;F003;Hollow edges;40;Product change (flying changeover);
25.1.2024 ?.;REG 12.5 1200 2000 TE (60);36;36;86.4;F002;Poor edges;50;Paper change;
